dataset,fold,model,n,mae,rmse,smape,crps,coverage_50,coverage_90,width_90
cv,fold_1,B0_historical_median,2141,15.213488276506304,20.88987022079217,57.00492728590437,15.213488276506302,0.0,0.0,0.0
cv,fold_1,B1_persistence,2141,4.644006235404017,6.781731016272825,19.912410950196097,4.644006235404017,0.0,0.0,0.0
cv,fold_1,B2_arx,2141,4.481541938182865,6.38695877676786,19.267911853475848,3.3574818194501637,0.5642223260158804,0.9000467071461934,24.066438529890124
cv,fold_1,M0_dynamic_only,2141,4.749740021783793,6.748849969685672,19.95688239726347,3.5208434561064013,0.5520784680056049,0.9014479215319944,24.350307950257307
cv,fold_1,M1_meteorological,2141,13.21241971971955,18.81159746627256,47.94567880292453,9.377733477930185,0.43157403082671647,0.8608127043437646,61.51875765263554
cv,fold_1,M2_fourier_seasonality,2141,14.168058926509067,20.436233175113276,51.030667888050104,10.247187519307746,0.39000467071461936,0.8056982718355908,65.33552636742803
cv,fold_1,M3_dynamic_regression,2141,4.444486008175196,6.419298332061082,19.22431940246934,3.3679495866263514,0.5712283979448856,0.8958430639887903,24.224227527899245
cv,fold_2,B0_historical_median,2142,8.556709523809523,10.426080985485722,43.09833833205859,8.556709523809523,0.0,0.0,0.0
cv,fold_2,B1_persistence,2142,3.7671183146591973,5.1554575954164354,20.884352731313154,3.7671183146591973,0.0014005602240896359,0.0014005602240896359,0.0
cv,fold_2,B2_arx,2142,3.618727181740165,4.992019882556555,20.227166206204604,2.6665158519233305,0.5490196078431373,0.9042950513538749,17.344368512734917
cv,fold_2,M0_dynamic_only,2142,3.6958474318499372,5.133801421027254,20.44805806703644,2.713602168065033,0.5415499533146592,0.9084967320261438,17.841306106843774
cv,fold_2,M1_meteorological,2142,7.864442620499217,11.924308229216358,39.60703550022145,5.845711112860029,0.5476190476190477,0.9178338001867413,47.68873122392101
cv,fold_2,M2_fourier_seasonality,2142,7.493541540753733,11.029525927166949,38.2912014700403,5.536157592408721,0.5364145658263305,0.9178338001867413,44.12157815588135
cv,fold_2,M3_dynamic_regression,2142,3.549703829614636,4.895863763060186,19.848914153663646,2.6118146830437325,0.5401493930905695,0.9052287581699346,17.09176833259865
cv,fold_3,B0_historical_median,2141,8.394136277440449,10.609897343186166,40.61821363620686,8.394136277440449,0.0,0.0,0.0
cv,fold_3,B1_persistence,2141,4.453502190565156,6.337437756427966,22.99379428776913,4.453502190565156,0.0028024287716020553,0.0028024287716020553,0.0
cv,fold_3,B2_arx,2141,4.160654004630926,5.902771131816159,21.815573139783755,3.065543945761475,0.5273236805231201,0.8748248482017749,18.424032504565965
cv,fold_3,M0_dynamic_only,2141,4.3345002775581465,6.216051113540329,22.454805878463784,3.199081408141428,0.5235871088276506,0.8748248482017749,19.558968810155505
cv,fold_3,M1_meteorological,2141,7.913614532732905,10.433769148566048,39.34366900305571,5.746968666595335,0.5581503970107426,0.9243344231667445,39.78155450010431
cv,fold_3,M2_fourier_seasonality,2141,7.425593983936875,9.548486274028557,37.29041925837878,5.318222943744173,0.572162540868753,0.9271368519383466,37.50259952401654
cv,fold_3,M3_dynamic_regression,2141,4.1105251054235605,5.831489991225666,21.55897688554959,3.0362669564844484,0.5268566090611864,0.88183092013078,18.281352450431864
cv,fold_4,B0_historical_median,2141,14.592619957963569,21.766527383336612,55.88099726237201,14.592619957963569,0.0,0.0,0.0
