dataset,fold,model,threshold_q90_train,n,mae_high,rmse_high
cv,fold_1,B0_historical_median,58.74404,195,51.707312307692305,53.89428454351428
cv,fold_1,B1_persistence,58.74404,195,8.090517435897436,10.485886943147039
cv,fold_1,B2_arx,58.74404,195,9.372972102132707,10.55973509895434
cv,fold_1,M0_dynamic_only,58.74404,195,10.54035935444412,11.473747683567833
cv,fold_1,M1_meteorological,58.74404,195,29.877802552142626,27.934508905068768
cv,fold_1,M2_fourier_seasonality,58.74404,195,26.37338400916758,25.602426762912618
cv,fold_1,M3_dynamic_regression,58.74404,195,8.48031560088585,9.97719147322974
cv,fold_2,B0_historical_median,58.559070000000006,9,39.12029444444445,39.33803715379825
cv,fold_2,B1_persistence,58.559070000000006,9,9.3103,10.96060108606174
cv,fold_2,B2_arx,58.559070000000006,9,10.585630650541171,10.844785661641543
cv,fold_2,M0_dynamic_only,58.559070000000006,9,11.779667867073934,11.595961391515107
cv,fold_2,M1_meteorological,58.559070000000006,9,29.14758241329101,24.5578689684172
cv,fold_2,M2_fourier_seasonality,58.559070000000006,9,27.826345082976893,23.547011692450706
cv,fold_2,M3_dynamic_regression,58.559070000000006,9,10.453789559194394,10.978185946808471
cv,fold_3,B0_historical_median,56.56845,14,42.80127142857143,43.62998538161161
cv,fold_3,B1_persistence,56.56845,14,22.248592857142857,27.503965361003598
cv,fold_3,B2_arx,56.56845,14,25.03877182988861,27.53261277589712
cv,fold_3,M0_dynamic_only,56.56845,14,23.98650585239007,27.419409080157948
cv,fold_3,M1_meteorological,56.56845,14,42.93817807419782,40.70931546676874
cv,fold_3,M2_fourier_seasonality,56.56845,14,42.172858326606594,40.113666411392366
cv,fold_3,M3_dynamic_regression,56.56845,14,25.006103734450768,27.731233865809777
cv,fold_4,B0_historical_median,55.03970000000005,184,57.315934239130435,61.76790840969638
cv,fold_4,B1_persistence,55.03970000000005,184,7.929140760869565,10.553967033473304
cv,fold_4,B2_arx,55.03970000000005,184,10.527926712383218,11.28664615704867
cv,fold_4,M0_dynamic_only,55.03970000000005,184,11.799419892053182,12.315972216558224
cv,fold_4,M1_meteorological,55.03970000000005,184,43.49513009036335,43.07594978496969
cv,fold_4,M2_fourier_seasonality,55.03970000000005,184,42.677351621032976,42.76444009503788
cv,fold_4,M3_dynamic_regression,55.03970000000005,184,10.75479974259536,11.500110828753026
test,,B0_historical_median,54.84974,636,56.20472358490566,63.501703162842375
test,,B1_persistence,54.84974,636,10.435308805031447,14.608612484154722
test,,B2_arx,54.84974,636,13.195988027984194,17.20568626826823
test,,M0_dynamic_only,54.84974,636,12.767538928294966,15.790207595981839
test,,M1_meteorological,54.84974,636,44.83172987709322,51.45169674729702
test,,M2_fourier_seasonality,54.84974,636,41.70969596594042,49.43195163934904
test,,M3_dynamic_regression,54.84974,636,12.989878099530012,17.297782561377897
