datetime,temp,humidity,windspeed,surface_pressure,PM10
2020-01-01 00:00:00,3.8,84,18.6,1001.9,25.5935
2020-01-01 01:00:00,3.7,85,18.2,1002.2,35.5808
2020-01-01 02:00:00,3.9,82,18.8,1002.6,26.5488
2020-01-01 03:00:00,3.8,83,17.4,1003.0,29.0458
2020-01-01 04:00:00,3.0,86,14.6,1003.2,22.2788
2020-01-01 05:00:00,2.4,89,12.7,1003.6,17.3052
2020-01-01 06:00:00,2.0,91,13.3,1003.9,14.713
2020-01-01 07:00:00,2.2,89,15.6,1004.0,21.6952
2020-01-01 08:00:00,2.0,88,16.3,1004.1,18.3507
2020-01-01 09:00:00,1.6,89,15.3,1004.5,18.8924
2020-01-01 10:00:00,2.3,80,18.0,1004.9,16.9201
2020-01-01 11:00:00,2.5,81,18.3,1005.2,17.8831
2020-01-01 12:00:00,2.7,79,16.8,1005.6,16.1803
2020-01-01 13:00:00,2.7,79,15.0,1005.2,21.8074
2020-01-01 14:00:00,3.2,77,18.0,1005.1,14.1982
2020-01-01 15:00:00,3.4,75,18.7,1005.0,23.2791
2020-01-01 16:00:00,3.5,71,19.8,1005.0,29.3958
2020-01-01 17:00:00,2.9,73,16.8,1004.9,33.5656
2020-01-01 18:00:00,2.3,75,16.7,1005.0,44.5969
2020-01-01 19:00:00,1.5,79,15.6,1005.0,52.7125
2020-01-01 20:00:00,0.2,88,14.8,1004.7,62.6727
2020-01-01 21:00:00,-0.3,91,14.8,1004.8,67.0038
2020-01-01 22:00:00,-0.8,91,14.4,1004.6,61.839
2020-01-01 23:00:00,-1.2,91,13.4,1004.5,50.4584
2020-01-02 00:00:00,-1.6,90,12.2,1004.2,45.162
2020-01-02 01:00:00,-1.8,89,13.3,1004.0,44.8131
2020-01-02 02:00:00,-0.9,79,16.2,1003.4,42.6679
2020-01-02 03:00:00,-0.9,77,17.6,1003.2,41.9959
2020-01-02 04:00:00,-1.1,78,17.3,1003.2,32.914
2020-01-02 05:00:00,-1.5,81,15.7,1003.3,29.236
2020-01-02 06:00:00,-1.8,82,15.4,1002.9,35.9504
2020-01-02 07:00:00,-2.0,82,13.3,1002.8,34.5848
2020-01-02 08:00:00,-2.2,80,12.3,1002.9,35.4083
2020-01-02 09:00:00,-2.0,77,13.0,1002.8,35.5459
2020-01-02 10:00:00,-0.4,70,14.4,1002.9,42.3014
2020-01-02 11:00:00,2.0,57,14.8,1002.9,57.1342
2020-01-02 12:00:00,4.3,47,14.8,1002.5,57.987
