model,model_label,cmdstan_run_id,parameter,predictor,effect_median_percent,effect_mean_percent,effect_q05_percent,effect_q95_percent,effect_interval_width_90,draws_used
M1_meteorological,M1,20260719195411,beta.1,Temperature lag 1 h,-22.645886882700683,-22.6460001699554,-23.091697852487503,-22.208866570485526,0.8828312820019768,4000
M1_meteorological,M1,20260719195411,beta.2,Humidity lag 1 h,-1.5517634301180083,-1.5492363585836666,-2.1512876147433766,-0.9757958961970478,1.1754917185463287,4000
M1_meteorological,M1,20260719195411,beta.3,Wind speed lag 1 h,-23.383727340875545,-23.387765951832478,-23.801094239726826,-22.985739347250007,0.8153548924768188,4000
M1_meteorological,M1,20260719195411,beta.4,Pressure lag 1 h,11.31969323948706,11.314207172918719,10.73274622477012,11.895875181392602,1.163128956622483,4000
M2_fourier_seasonality,M2,20260719195520,beta.1,Temperature lag 1 h,-4.193831238204915,-4.1922166564472665,-5.280369113123581,-3.0968614849562073,2.1835076281673738,4000
M2_fourier_seasonality,M2,20260719195520,beta.2,Humidity lag 1 h,-2.5410393982687185,-2.5291303226874233,-3.1719234191525723,-1.858875546892454,1.3130478722601182,4000
M2_fourier_seasonality,M2,20260719195520,beta.3,Wind speed lag 1 h,-23.989318916104946,-23.992502471970575,-24.410183366864207,-23.57361736667784,0.836566000186366,4000
M2_fourier_seasonality,M2,20260719195520,beta.4,Pressure lag 1 h,13.104151170325984,13.107212043694627,12.516258982264407,13.690566842393466,1.1743078601290584,4000
M3_dynamic_regression,M3,20260719195815,beta.1,Temperature lag 1 h,-1.9916887754210022,-1.996737811984305,-2.5482800863714794,-1.4581322036443412,1.0901478827271383,4000
M3_dynamic_regression,M3,20260719195815,beta.2,Humidity lag 1 h,-0.7015441440079762,-0.7010712192993689,-1.0202381342575622,-0.3761239516759824,0.6441141825815797,4000
M3_dynamic_regression,M3,20260719195815,beta.3,Wind speed lag 1 h,-4.218487758477075,-4.21471774982382,-4.485344624897172,-3.942188389812744,0.5431562350844277,4000
M3_dynamic_regression,M3,20260719195815,beta.4,Pressure lag 1 h,1.734275871191604,1.7353511171160614,1.4788085107658777,1.9917243009306185,0.5129157901647408,4000
