model,model_label,cmdstan_run_id,parameter,predictor,mean,median,q05,q95,interval_width_90,draws_available,draws_used
M3_baseline,M3 baseline prior,20260719195815,beta.1,temperature_lag1_z,-0.0201002928118,-0.0200562205,-0.025747065399999998,-0.014504507750000001,0.011242557649999997,4000,1000
M3_baseline,M3 baseline prior,20260719195815,beta.2,humidity_lag1_z,-0.0070735595888,-0.007106453,-0.0102470667,-0.0040309317,0.006216134999999999,4000,1000
M3_baseline,M3 baseline prior,20260719195815,beta.3,wind_speed_lag1_z,-0.043066060049,-0.043040642000000004,-0.04589049085,-0.04029462115,0.005595869699999999,4000,1000
M3_baseline,M3 baseline prior,20260719195815,beta.4,pressure_lag1_z,0.017222547783,0.0172157555,0.01470574905,0.019569458050000002,0.0048637090000000025,4000,1000
M3_wide_priors,"M3 beta prior Normal(0, 0.6)",20260719210009,beta.1,temperature_lag1_z,-0.019981526648,-0.020012811999999998,-0.02512984085,-0.014343663750000001,0.0107861771,4000,1000
M3_wide_priors,"M3 beta prior Normal(0, 0.6)",20260719210009,beta.2,humidity_lag1_z,-0.0071023357764,-0.0071355671,-0.010328821149999999,-0.0038128967900000004,0.006515924359999998,4000,1000
M3_wide_priors,"M3 beta prior Normal(0, 0.6)",20260719210009,beta.3,wind_speed_lag1_z,-0.043092495913999995,-0.043113744999999995,-0.0457090993,-0.04025392425,0.005455175049999997,4000,1000
M3_wide_priors,"M3 beta prior Normal(0, 0.6)",20260719210009,beta.4,pressure_lag1_z,0.017205460631,0.017126772999999998,0.014718180899999999,0.01981835915,0.00510017825,4000,1000
M3_dynamic_student_t,M3 Student-t log-PM10 likelihood,20260719210339,beta.1,temperature_lag1_z,-0.0167648488675,-0.0167549875,-0.0214202824,-0.0118338398,0.0095864426,4000,1000
M3_dynamic_student_t,M3 Student-t log-PM10 likelihood,20260719210339,beta.2,humidity_lag1_z,-0.00649111525566,-0.0065761993,-0.009460006635,-0.003454326675000002,0.006005679959999999,4000,1000
M3_dynamic_student_t,M3 Student-t log-PM10 likelihood,20260719210339,beta.3,wind_speed_lag1_z,-0.041352653796,-0.04136915100000001,-0.0439905032,-0.0387895176,0.005200985600000006,4000,1000
M3_dynamic_student_t,M3 Student-t log-PM10 likelihood,20260719210339,beta.4,pressure_lag1_z,0.0131557182426,0.0130892875,0.01091683425,0.015404403299999998,0.0044875690499999975,4000,1000
