scenario,model,n_original,n_excluded,n_remaining,mae_original,mae_filtered,mae_change,rmse_original,rmse_filtered,rmse_change,crps_original,crps_filtered,crps_change,coverage_90_original,coverage_90_filtered,coverage_90_change
exclude_after_gaps,B0_historical_median,8565,64,8501,13.013075043782838,13.018033072579698,0.004958028796860248,20.661212969468348,20.694609524308465,0.03339655484011672,13.013075043782838,13.018033072579696,0.004958028796858471,0.0,0.0,0.0
exclude_after_gaps,B1_persistence,8565,64,8501,4.885880747227087,4.877281331608047,-0.008599415619039874,7.319842161526612,7.31170442488145,-0.008137736645162263,4.885880747227087,4.877281331608046,-0.008599415619040762,0.0080560420315236,0.008116692153864251,6.06501223406504e-05
exclude_after_gaps,B2_arx,8565,64,8501,4.8836775629697255,4.860921442840891,-0.022756120128834212,7.425748075360908,7.390421253935978,-0.035326821424930266,3.621753296945044,3.6022953329102165,-0.01945796403482758,0.8853473438412143,0.8873073756028702,0.0019600317616559337
exclude_after_gaps,M0_dynamic_only,8565,64,8501,4.929654840286489,4.922610267216277,-0.007044573070211335,7.332406001615644,7.324865860919479,-0.007540140696165487,3.658900000124631,3.6556775677364213,-0.0032224323882097394,0.888733216579101,0.8891895071168098,0.00045629053770879224
exclude_after_gaps,M1_meteorological,8565,64,8501,11.604983628830317,11.618554350399828,0.013570721569511335,18.757141789302057,18.786369630942453,0.02922784164039527,8.641121692896398,8.650707248342247,0.009585555445848826,0.8732049036777583,0.8734266556875662,0.00022175200980789622
exclude_after_gaps,M2_fourier_seasonality,8565,64,8501,11.375748528232126,11.388499089025478,0.012750560793351795,18.62667078988617,18.658714085087073,0.03204329520090354,8.450188599746525,8.45953060447095,0.009342004724425479,0.8719206071220081,0.872250323491354,0.0003297163693458671
exclude_after_gaps,M3_dynamic_regression,8565,64,8501,4.865164606830177,4.861631153891502,-0.003533452938675019,7.453685283956733,7.453519701576174,-0.00016558238055885965,3.601902659140781,3.6011724028458065,-0.000730256294974474,0.8844133099824869,0.8846018115515821,0.00018850156909522298
exclude_dst_pm3h,B0_historical_median,8565,4,8561,13.013075043782838,13.001002680761593,-0.012072363021244925,20.661212969468348,20.647413324594066,-0.013799644874282535,13.013075043782838,13.001002680761593,-0.012072363021244925,0.0,0.0,0.0
exclude_dst_pm3h,B1_persistence,8565,4,8561,4.885880747227087,4.885021446092747,-0.0008593011343398516,7.319842161526612,7.319296146917542,-0.0005460146090703333,4.885880747227087,4.885021446092746,-0.0008593011343407397,0.0080560420315236,0.008059806097418526,3.764065894924784e-06
exclude_dst_pm3h,B2_arx,8565,4,8561,4.8836775629697255,4.882623050780212,-0.001054512189513801,7.425748075360908,7.425803372638693,5.5297277785193444e-05,3.621753296945044,3.6209560390415785,-0.0007972579034656313,0.8853473438412143,0.8852937740918118,-5.3569749402515576e-05
exclude_dst_pm3h,M0_dynamic_only,8565,4,8561,4.929654840286489,4.92890241117552,-0.0007524291109684,7.332406001615644,7.33230235548206,-0.00010364613358415653,3.658900000124631,3.657963289036404,-0.0009367110882267937,0.888733216579101,0.8886812288284079,-5.198775069303885e-05
exclude_dst_pm3h,M1_meteorological,8565,4,8561,11.604983628830317,11.59103756786201,-0.01394606096830664,18.757141789302057,18.741293515521726,-0.015848273780331823,8.641121692896398,8.630043185224023,-0.011078507672374727,0.8732049036777583,0.8734960869057353,0.0002911832279770543
exclude_dst_pm3h,M2_fourier_seasonality,8565,4,8561,11.375748528232126,11.363780657549219,-0.011967870682907389,18.62667078988617,18.61436954721159,-0.012301242674578106,8.450188599746525,8.441174633737281,-0.009013966009243646,0.8719206071220081,0.8722111902815092,0.0002905831595010344
exclude_dst_pm3h,M3_dynamic_regression,8565,4,8561,4.865164606830177,4.8626424596591376,-0.0025221471710397125,7.453685283956733,7.452617086886363,-0.0010681970703698696,3.601902659140781,3.600572223014905,-0.0013304361258761332,0.8844133099824869,0.8843593038196472,-5.4006162839681515e-05
exclude_forward_filled_meteo,B0_historical_median,8565,0,8565,13.013075043782838,13.013075043782838,0.0,20.661212969468348,20.661212969468348,0.0,13.013075043782838,13.013075043782838,0.0,0.0,0.0,0.0
exclude_forward_filled_meteo,B1_persistence,8565,0,8565,4.885880747227087,4.885880747227087,0.0,7.319842161526612,7.319842161526612,0.0,4.885880747227087,4.885880747227087,0.0,0.0080560420315236,0.008056042031523642,4.163336342344337e-17
exclude_forward_filled_meteo,B2_arx,8565,0,8565,4.8836775629697255,4.8836775629697255,0.0,7.425748075360908,7.425748075360908,0.0,3.621753296945044,3.6217532969450437,-4.440892098500626e-16,0.8853473438412143,0.8853473438412143,0.0
exclude_forward_filled_meteo,M0_dynamic_only,8565,0,8565,4.929654840286489,4.929654840286489,0.0,7.332406001615644,7.332406001615644,0.0,3.658900000124631,3.6589000001246306,-4.440892098500626e-16,0.888733216579101,0.888733216579101,0.0
exclude_forward_filled_meteo,M1_meteorological,8565,0,8565,11.604983628830317,11.604983628830317,0.0,18.757141789302057,18.757141789302057,0.0,8.641121692896398,8.641121692896398,0.0,0.8732049036777583,0.8732049036777583,0.0
exclude_forward_filled_meteo,M2_fourier_seasonality,8565,0,8565,11.375748528232126,11.375748528232126,0.0,18.62667078988617,18.62667078988617,0.0,8.450188599746525,8.450188599746525,0.0,0.8719206071220081,0.8719206071220081,0.0
exclude_forward_filled_meteo,M3_dynamic_regression,8565,0,8565,4.865164606830177,4.865164606830177,0.0,7.453685283956733,7.453685283956733,0.0,3.601902659140781,3.601902659140781,0.0,0.8844133099824869,0.8844133099824869,0.0
exclude_any_gap_sensitive,B0_historical_median,8565,67,8498,13.013075043782838,13.00858687926571,-0.004488164517127302,20.661212969468348,20.683229861706998,0.022016892238649888,13.013075043782838,13.00858687926571,-0.004488164517127302,0.0,0.0,0.0
exclude_any_gap_sensitive,B1_persistence,8565,67,8498,4.885880747227087,4.876508425511885,-0.00937232171520197,7.319842161526612,7.310981148328801,-0.008861013197811296,4.885880747227087,4.876508425511885,-0.00937232171520197,0.0080560420315236,0.008119557542951282,6.351551142768155e-05
exclude_any_gap_sensitive,B2_arx,8565,67,8498,4.8836775629697255,4.85940700172127,-0.02427056124845528,7.425748075360908,7.390033014468239,-0.03571506089266929,3.621753296945044,3.601510024387777,-0.02024327255726721,0.8853473438412143,0.8872675923746763,0.0019202485334620656
exclude_any_gap_sensitive,M0_dynamic_only,8565,67,8498,4.929654840286489,4.922220421006815,-0.007434419279674032,7.332406001615644,7.324663716029979,-0.007742285585665698,3.658900000124631,3.6550085523417875,-0.00389144778284356,0.888733216579101,0.8891503883266652,0.0004171717475641712
exclude_any_gap_sensitive,M1_meteorological,8565,67,8498,11.604983628830317,11.607615079016034,0.002631450185717199,18.757141789302057,18.772992634645014,0.015850845342956887,8.641121692896398,8.641950164032162,0.0008284711357635643,0.8732049036777583,0.8736173217227583,0.0004124180450000292
exclude_any_gap_sensitive,M2_fourier_seasonality,8565,67,8498,11.375748528232126,11.379086917195705,0.0033383889635789643,18.62667078988617,18.648197121435274,0.021526331549104327,8.450188599746525,8.452431752780697,0.0022431530341719963,0.8719206071220081,0.8724405742527653,0.0005199671307571929
exclude_any_gap_sensitive,M3_dynamic_regression,8565,67,8498,4.865164606830177,4.859792737156493,-0.005371869673684415,7.453685283956733,7.452664471651282,-0.0010208123054509244,3.601902659140781,3.6000928415327444,-0.0018098176080365569,0.8844133099824869,0.8845610731936926,0.00014776321120568703
