fold,year,train_start,train_end,test_start,test_end,n_train,n_test,model,model_label,n,mae,rmse,crps,coverage_90,width_90,threshold_q90_train,n_high,mae_high,rmse_high
Y2021,2021,2020-01-01T01:00:00,2020-12-31T23:00:00,2021-01-01T00:00:00,2021-12-31T23:00:00,8696,8590,B1_persistence,B1 persistence,8590,5.357446001164145,8.64547926578891,5.357446001164145,0.0003492433061699651,0.0,57.727000000000004,1119,9.832542448614836,16.32385669911124
Y2021,2021,2020-01-01T01:00:00,2020-12-31T23:00:00,2021-01-01T00:00:00,2021-12-31T23:00:00,8696,8590,B2_arx,B2 ARX(1),8590,5.380144554857368,8.346840881700784,3.9556610754711308,0.9064027939464494,26.93877473136223,57.727000000000004,1119,12.172163844477979,16.610597146048114
Y2021,2021,2020-01-01T01:00:00,2020-12-31T23:00:00,2021-01-01T00:00:00,2021-12-31T23:00:00,8696,8590,M0_dynamic_only,M0 (lag only),8590,5.544753811279323,8.570737394157412,4.084839929059614,0.9080325960419092,27.922368868590706,57.727000000000004,1119,12.49808776097767,16.795430525762427
Y2021,2021,2020-01-01T01:00:00,2020-12-31T23:00:00,2021-01-01T00:00:00,2021-12-31T23:00:00,8696,8590,M3_dynamic_regression,M3 (+ lag),8590,5.3083311176527115,8.209020268144684,3.903717647110156,0.9077997671711292,26.764389010721366,57.727000000000004,1119,11.974858986295695,16.241265241280026
Y2022,2022,2020-01-01T01:00:00,2021-12-31T23:00:00,2022-01-01T00:00:00,2022-12-31T23:00:00,17286,8556,B1_persistence,B1 persistence,8556,4.618011739130435,6.784864278242954,4.618011739130435,0.0002337540906965872,0.0,61.45435,581,9.015705335628226,12.69685792919445
Y2022,2022,2020-01-01T01:00:00,2021-12-31T23:00:00,2022-01-01T00:00:00,2022-12-31T23:00:00,17286,8556,B2_arx,B2 ARX(1),8556,4.50433855710871,6.431958486517232,3.3516495477918045,0.9233286582515194,24.072592692013767,61.45435,581,10.921299162911533,12.741572600087961
Y2022,2022,2020-01-01T01:00:00,2021-12-31T23:00:00,2022-01-01T00:00:00,2022-12-31T23:00:00,17286,8556,M0_dynamic_only,M0 (lag only),8556,4.65140403496513,6.711047157999486,3.4689082179338424,0.9248480598410472,24.84621130455835,61.45435,581,11.39309319606743,13.35717014488922
Y2022,2022,2020-01-01T01:00:00,2021-12-31T23:00:00,2022-01-01T00:00:00,2022-12-31T23:00:00,17286,8556,M3_dynamic_regression,M3 (+ lag),8556,4.450435330501983,6.404287824008266,3.322131877463416,0.9260168302945302,23.943773581407235,61.45435,581,10.622868883594833,12.498319896798822
Y2023,2023,2020-01-01T01:00:00,2022-12-31T23:00:00,2023-01-01T00:00:00,2023-12-31T23:00:00,25842,8421,B1_persistence,B1 persistence,8421,4.342015504096901,6.216826097690355,4.3420155040969,0.0010687566797292483,0.0,58.74269000000001,364,8.585343681318681,11.621288785950378
Y2023,2023,2020-01-01T01:00:00,2022-12-31T23:00:00,2023-01-01T00:00:00,2023-12-31T23:00:00,25842,8421,B2_arx,B2 ARX(1),8421,4.193778940311158,5.908057189407936,3.104513778934746,0.8886118038237739,20.543651530123018,58.74269000000001,364,10.785048313345373,12.134082728223909
Y2023,2023,2020-01-01T01:00:00,2022-12-31T23:00:00,2023-01-01T00:00:00,2023-12-31T23:00:00,25842,8421,M0_dynamic_only,M0 (lag only),8421,4.365211093755478,6.194534918707719,3.2214939689582143,0.8892055575347346,21.237620731869562,58.74269000000001,364,11.688603437699207,12.733663311806477
Y2023,2023,2020-01-01T01:00:00,2022-12-31T23:00:00,2023-01-01T00:00:00,2023-12-31T23:00:00,25842,8421,M3_dynamic_regression,M3 (+ lag),8421,4.144917686576514,5.881018860722318,3.0786957282399667,0.8903930649566559,20.451271686902913,58.74269000000001,364,10.304150479116624,11.93855096229522
Y2024,2024,2020-01-01T01:00:00,2023-12-31T23:00:00,2024-01-01T00:00:00,2024-12-31T23:00:00,34263,8560,B1_persistence,B1 persistence,8560,4.8855955373831765,7.320603474170833,4.8855955373831765,0.008060747663551401,0.0,54.8478,636,10.435308805031447,14.608612484154722
Y2024,2024,2020-01-01T01:00:00,2023-12-31T23:00:00,2024-01-01T00:00:00,2024-12-31T23:00:00,34263,8560,B2_arx,B2 ARX(1),8560,4.884098478681966,7.427552283964959,3.6194235374897175,0.8853971962616822,23.076922081060125,54.8478,636,13.201433822996995,17.20772329391722
Y2024,2024,2020-01-01T01:00:00,2023-12-31T23:00:00,2024-01-01T00:00:00,2024-12-31T23:00:00,34263,8560,M0_dynamic_only,M0 (lag only),8560,4.929826817657202,7.326838431673742,3.6498063027626864,0.8884345794392523,23.891085094200545,54.8478,636,12.693844740334084,15.698583137444508
Y2024,2024,2020-01-01T01:00:00,2023-12-31T23:00:00,2024-01-01T00:00:00,2024-12-31T23:00:00,34263,8560,M3_dynamic_regression,M3 (+ lag),8560,4.870950986997802,7.456346494031877,3.6028005735783326,0.8852803738317757,22.956363007250292,54.8478,636,13.001512939236823,17.305064220669582
