Comparison,Metric,Observed difference,Bootstrap median,95% CI lower,95% CI upper,P(difference < 0),Block length [h],n
M3 vs B1 (persistence),mae,-0.0207161403969093,-0.0274326920694916,-0.1407844464590143,0.1233607707698921,0.641,24,8565
M3 vs B1 (persistence),rmse,0.1338431224301208,0.1242818439841975,-0.254995787883439,0.6488027194717143,0.3065,24,8565
M0 vs B1 (persistence),mae,0.0437740930594019,0.0434842411402569,-0.0213847964054083,0.1336018903948921,0.1075,24,8565
M0 vs B1 (persistence),rmse,0.0125638400890322,0.0068942023276474,-0.1133953584954435,0.1878529924442865,0.46,24,8565
M3 vs M0,crps,-0.0569973409838495,-0.0575795932486014,-0.1173264393675906,0.0136975036732941,0.9415,24,8565
M3 vs M0,mae,-0.0644902334563113,-0.0647256778438301,-0.155764986686637,0.0474551551968148,0.894,24,8565
M3 vs M0,rmse,0.1212792823410886,0.0915104287114947,-0.216112884740757,0.5490248773176293,0.3185,24,8565
M3 vs B2 (ARX(1)),crps,-0.0198506378042626,-0.0202649995789603,-0.0453589604769773,0.0078828233246984,0.9265,24,8565
M3 vs B2 (ARX(1)),mae,-0.0185129561395482,-0.017940541387289,-0.0562154527104828,0.0243857162025496,0.7945,24,8565
M3 vs B2 (ARX(1)),rmse,0.0279372085958247,0.025084098915113,-0.067935016519532,0.1462244319344637,0.3195,24,8565
M0 vs B2 (ARX(1)),crps,0.0371467031795869,0.037909449244265,-0.0220803281751824,0.085681033115148,0.0905,24,8565
