section,variable,metric,value,details
threshold,PM10,final_train_high_pm10_q90,54.84974,PM10 > threshold
missingness,PM10,missing_count,773,
missingness,PM10,missing_share,0.017629082284254697,
missingness,PM10,missing_run_count,251,
missingness,PM10,longest_missing_run_hours,58,
missingness_high_pm10,PM10,high_pm10_count,,unknown because PM10 is missing
missingness,temp,missing_count,0,
missingness,temp,missing_share,0.0,
missingness,temp,missing_run_count,0,
missingness,temp,longest_missing_run_hours,0,
missingness_high_pm10,temp,missing_rows_with_high_pm10,0,
missingness,humidity,missing_count,0,
missingness,humidity,missing_share,0.0,
missingness,humidity,missing_run_count,0,
missingness,humidity,longest_missing_run_hours,0,
missingness_high_pm10,humidity,missing_rows_with_high_pm10,0,
missingness,windspeed,missing_count,0,
missingness,windspeed,missing_share,0.0,
missingness,windspeed,missing_run_count,0,
missingness,windspeed,longest_missing_run_hours,0,
missingness_high_pm10,windspeed,missing_rows_with_high_pm10,0,
missingness,surface_pressure,missing_count,0,
missingness,surface_pressure,missing_share,0.0,
missingness,surface_pressure,missing_run_count,0,
missingness,surface_pressure,longest_missing_run_hours,0,
missingness_high_pm10,surface_pressure,missing_rows_with_high_pm10,0,
forward_fill,temp,filled_by_forward_fill_limit_2h,352,
forward_fill_high_pm10,temp,filled_rows_with_high_pm10,0,
forward_fill,humidity,filled_by_forward_fill_limit_2h,352,
forward_fill_high_pm10,humidity,filled_rows_with_high_pm10,0,
forward_fill,windspeed,filled_by_forward_fill_limit_2h,352,
forward_fill_high_pm10,windspeed,filled_rows_with_high_pm10,0,
forward_fill,surface_pressure,filled_by_forward_fill_limit_2h,352,
forward_fill_high_pm10,surface_pressure,filled_rows_with_high_pm10,0,
dst,weather_open_meteo,duplicate_timestamp_rows,0,
dst,weather_open_meteo,excluded_dst_rows,0,
dst,weather_open_meteo,excluded_dst_timestamps,0,
dst,pm10_gios,duplicate_timestamp_rows,10,
dst,pm10_gios,excluded_dst_rows,10,2020-03-29 03:00:00; 2021-03-28 03:00:00; 2022-03-27 03:00:00; 2023-03-26 03:00:00; 2024-03-31 03:00:00
dst,pm10_gios,excluded_dst_timestamps,5,2020-03-29 03:00:00; 2021-03-28 03:00:00; 2022-03-27 03:00:00; 2023-03-26 03:00:00; 2024-03-31 03:00:00
dst_high_pm10,pm10_gios,excluded_rows_with_high_pm10,4,threshold=54.84974
timestamp_gaps,processed_merged,gaps_gt_1h_count,251,
timestamp_gaps,processed_merged,max_gap_hours,59.0,
timestamp_gaps,model_ready,gaps_gt_1h_count,249,
timestamp_gaps,model_ready,max_gap_hours,60.0,
